,Building area,Building Height,Building type,Air temperature,Humidity,Solar radiation,Normalized annual energy consumption
0,163.60279742349923,9.0,1,40.40942219690385,57.30860554907703,1934.4016003987958,134.91605744938457
1,572.0485866906411,9.0,0,12.51993388458408,70.63302504993223,2579.0401386337894,210.03152266047923
2,642.0489254987846,6.0,0,22.04182053787237,42.1820703621079,2017.5531313998283,228.89992364186898
3,123.47270643770611,9.0,1,29.08661387827282,61.221707653853464,1594.4861362024042,184.66657649387875
4,290.37955982258217,3.0,3,22.20892834699916,63.55708672643168,2241.044346681564,130.14740673993387
5,171.44569177772152,6.0,2,31.181536317328092,74.11949788455689,1886.9413884157316,161.42766317393895
6,161.8300127463582,9.0,2,22.945977417937957,51.158814431870155,2059.2983355969723,160.35258614881988
7,301.5930733834805,3.0,3,11.434358671949346,87.9910014870181,2350.4434674479407,234.38840713486175
8,573.5445443598776,6.0,0,30.636281556502254,66.68795152368874,2519.3723628069342,192.33262757419686
9,300.51677809997295,3.0,2,18.390676608045148,57.9381189220704,1779.2835683772387,199.70904469003756
10,525.5216755560635,6.0,0,8.23484824825203,51.244980029608975,2739.2490835759036,192.7415812577615
11,538.0395433502961,6.0,0,9.450277243116643,58.98138123863115,2154.4575228761614,166.2089355195709
12,302.91910102500617,6.0,3,27.948227313246065,51.66273769131009,2202.0439763841523,155.0215141903153
13,128.1493458869407,9.0,1,32.53215237138544,37.81886338899606,2186.9959153082764,207.46094694903434
14,178.39300590754235,6.0,2,22.29258370255729,69.65082037310079,2363.3540046547896,168.1417551696665
15,553.1207416744695,6.0,0,16.34732082156848,59.79349102573212,1678.1964064299652,196.02264113676216
16,310.0879842421306,3.0,3,27.78705017613232,60.24211390864718,1721.9284744350766,200.47238100766424
17,563.3525677960349,6.0,0,25.723016499204125,42.01832599717925,1894.478710523506,234.5665217850477
18,350.37173986828645,3.0,3,28.663377135433272,64.20320706304484,1848.2040255801403,154.1776181502223
19,276.1932337113776,6.0,3,13.82664973703927,46.31825919861094,2079.4523891684544,217.73680075785836
20,274.28877572782807,6.0,3,34.752136425719044,56.49541511309022,2005.2386243876272,162.40845989941613
21,128.25518379075402,9.0,1,23.033027503117218,64.10294158459399,2560.532826135964,104.61910119341272
22,649.1308482048944,9.0,0,18.11140105402907,65.59714096895962,2370.6661219094194,193.75252135253973
23,287.1570795844153,9.0,3,18.514174391523635,52.91645169519569,2238.4934180800105,198.1798771445808
24,322.68360891332856,3.0,3,13.09260226383299,58.17866328329385,2164.946740453045,150.2143018591672
25,321.2860383234214,9.0,3,21.914322590079088,68.1982565494618,1751.2300175122102,177.74003975857977
26,304.51191095618776,6.0,3,37.24517022472182,47.25438522608576,2207.3721208689285,218.6747174631366
27,203.6744819527055,3.0,2,23.87836827602759,63.57446502603803,2291.77847528497,158.5211044490441
28,175.01556186865454,6.0,2,39.38916840873087,69.2676936036443,2042.4415618192713,162.79005845447347
29,284.521067303735,6.0,3,12.439225406446365,55.42908500322599,2481.932590423237,208.40308551882495
30,116.59214730378656,9.0,2,18.907243514480076,62.28894453084481,2493.4303968074328,120.47342427684828
31,128.41418362926424,9.0,1,22.59465402223619,77.27240818063042,2615.8942705956906,136.47735416173416
32,175.24480323411402,3.0,2,17.886503775181293,50.57864549846566,1607.592920962939,122.94798862731787
33,562.3007351986124,9.0,0,14.812695440243164,68.95505985646584,2654.192377695262,232.56110131622043
34,121.081045241108,9.0,1,27.622282061477915,66.17682077987207,2190.472911131435,120.5295613927303
35,150.71613494780738,9.0,1,26.550344239326026,69.02245126131601,2181.4540056729006,111.68505831034255
36,284.22414315554545,6.0,3,26.433134969853665,70.58043695443729,1954.1102798883533,199.13902470970746
37,299.7694629488086,6.0,3,36.534320883678184,71.90679695455256,2218.310505374537,168.53450152539025
38,142.33878930868107,6.0,1,15.286140170688695,77.29682558381212,1752.5634339952703,105.24659281995443
39,182.17084831245782,6.0,2,43.986707168692774,65.47384529806465,2364.3432921018825,172.54282199646448
40,552.8367369084606,6.0,0,12.908241380647997,42.441442975931984,2242.834436951912,180.52722370456706
41,317.61893956365685,3.0,3,14.483891098356137,77.55411544258197,2364.8977187008595,194.77425308581755
42,556.5440924492439,6.0,0,15.206662059788542,72.1104965099099,2219.5848999539144,245.87609023638262
43,206.60492250322181,6.0,2,26.469892664647173,59.14067262525746,1987.0125411880015,157.0464304820108
44,93.64597669521451,6.0,1,29.182025377855645,82.80564914115617,2528.5684849453396,82.0020648502041
45,103.21102614005481,9.0,1,22.227495103803992,69.56213618114268,2200.4757512900496,122.05138157959794
46,645.5480034101089,6.0,0,23.853772684664357,65.13214108732572,2016.8311673417993,227.1686510846271
47,507.86681127488765,6.0,0,26.672705229892912,69.3320410963487,2364.5803764959446,167.5496292507016
48,202.0676180888164,6.0,3,36.36419031241255,64.76377477736096,2508.364683988104,152.64638908263498
49,131.07356670027497,9.0,1,26.442844904905638,60.78198914140591,1797.5357975396855,119.99798417223786
