building_id,building_type,sqft,yearbuilt,numberoffloors,airTemperature,humidity,power_consumption
0,Research,7432.0,2008.0,4.0,22.80509092982156,70.95144172927405,64.97776123948839
1,Research,2720.0,2004.0,5.0,22.80509092982156,70.95144172927405,33.43364470497655
2,Classroom,5376.0,1991.0,6.0,22.80509092982156,70.95144172927405,6.687316167537789
3,Classroom,23685.0,2002.0,4.0,22.80509092982156,70.95144172927405,89.61714930403448
4,Research,116607.0,1975.0,7.0,22.80509092982156,70.95144172927405,417.13794785276065
5,Research,8000.0,2000.0,3.0,22.80509092982156,70.95144172927405,7.525236375819991
6,Residence Hall,27926.0,1981.0,8.0,22.80509092982156,70.95144172927405,36.27709428551247
7,Classroom,121074.0,1989.0,7.0,22.80509092982156,70.95144172927405,151.788491104988
8,Classroom,60809.0,2003.0,8.0,22.80509092982156,70.95144172927405,122.08070168138467
9,Office,27000.0,2010.0,5.0,22.80509092982156,70.95144172927405,35.36006700339078
10,Stadium,370773.0,1991.0,31.0,22.80509092982156,70.95144172927405,473.1801949985872
11,Research,49073.0,1968.0,8.0,22.80509092982156,70.95144172927405,140.8894397020589
12,Residence Hall,37100.0,1999.0,9.0,22.80509092982156,70.95144172927405,70.42193998456464
13,Classroom,99380.0,2000.0,6.0,22.80509092982156,70.95144172927405,107.90117943773397
14,Classroom,86250.0,2013.0,7.0,22.80509092982156,70.95144172927405,124.39790769176439
15,Office,83957.0,1974.0,7.0,22.80509092982156,70.95144172927405,74.88916262756013
16,Classroom,54644.0,1996.0,14.0,22.80509092982156,70.95144172927405,385.56445373939306
17,Office,15250.0,1980.0,4.0,22.80509092982156,70.95144172927405,33.75578879547863
18,Research,111891.0,1996.0,11.0,22.80509092982156,70.95144172927405,602.2942277903363
19,Office,18717.0,2004.0,11.0,22.80509092982156,70.95144172927405,52.4146049950544
20,Classroom,110272.0,1977.0,9.0,22.80509092982156,70.95144172927405,148.05098151017822
21,Office,7043.0,1990.0,5.0,22.80509092982156,70.95144172927405,20.636361324952325
22,Research,3569.0,1996.0,6.0,22.80509092982156,70.95144172927405,8.391153934911243
23,Classroom,130885.0,1985.0,8.0,22.80509092982156,70.95144172927405,263.0827483962264
24,Classroom,105545.0,2001.0,10.0,22.80509092982156,70.95144172927405,227.93024374426
25,Office,103286.0,1969.0,9.0,22.80509092982156,70.95144172927405,99.70399959734388
26,Office,26953.0,2005.0,6.0,22.80509092982156,70.95144172927405,44.27899203108443
27,Residence Hall,59200.0,1999.0,4.0,22.80509092982156,70.95144172927405,89.70176225362061
28,Office,52957.0,2016.0,3.0,22.80509092982156,70.95144172927405,63.34529886973721
29,Classroom,113866.0,2006.0,9.0,22.80509092982156,70.95144172927405,302.89419340910956
30,Classroom,93897.0,1999.0,7.0,22.80509092982156,70.95144172927405,156.46622174343034
31,Classroom,61904.0,2001.0,12.0,22.80509092982156,70.95144172927405,131.76854176616035
32,Office,48392.0,2005.0,9.0,22.80509092982156,70.95144172927405,96.20213657623287
33,Residence Hall,38686.0,2002.0,28.0,22.80509092982156,70.95144172927405,140.59348831590844
34,Residence Hall,42731.0,2002.0,6.0,22.80509092982156,70.95144172927405,83.35569554990465
35,Residence Hall,41617.0,2002.0,10.0,22.80509092982156,70.95144172927405,66.44371263775078
36,Residence Hall,53130.0,2002.0,14.0,22.80509092982156,70.95144172927405,42.689104803616836
37,Residence Hall,53130.0,2002.0,6.0,22.80509092982156,70.95144172927405,56.785944200339074
38,Office,12769.0,2013.0,3.0,22.80509092982156,70.95144172927405,147.10402768046333
39,Office,64619.0,1969.0,4.0,22.80509092982156,70.95144172927405,93.10076556693748
40,Stadium,26944.0,2001.0,8.0,22.80509092982156,70.95144172927405,72.15652591494288
41,Office,93860.0,1968.0,11.0,22.80509092982156,70.95144172927405,51.90631342187058
42,Other,226506.0,1968.0,23.0,22.80509092982156,70.95144172927405,371.4163240417116
43,Retail,59071.0,1980.0,4.0,22.80509092982156,70.95144172927405,32.063591454981655
44,Retail,283.0,1985.0,7.0,22.80509092982156,70.95144172927405,3.4841004803956195
45,Retail,15304.0,2016.0,5.0,22.80509092982156,70.95144172927405,0.7910947783849425
46,Retail,9045.0,2016.0,4.0,22.80509092982156,70.95144172927405,5.808891928768175
47,Retail,31666.0,2008.0,8.0,22.80509092982156,70.95144172927405,119.53686939107092
48,Other,9569.0,1989.0,5.0,22.80509092982156,70.95144172927405,26.496573628081077
49,Residence Hall,24456.0,1968.0,6.0,22.80509092982156,70.95144172927405,52.844061992228895
